	heat	fft	lu	strassen	cholesky	bucket	plu	game
1	100	100	100	100	100	100	100	100
2	51.6904	61.5669	52.6948	45.5041	50.3884	57.7095	52.1412	105.753
3	36.6448	36.9688	40.0253	33.1417	33.272	38.6804	36.8979	77.1074
4	28.3796	29.97	30.0409	25.3651	27.3933	30.9869	29.067	64.9018
5	24.232	28.6488	28.3614	21.3068	22.2244	25.3956	24.3821	64.2213
6	20.8135	24.6666	28.0655	20.5195	19.1826	22.0356	21.219	68.2971
7	18.2052	23.4741	29.3578	17.574	17.8066	19.1724	18.7921	64.8692
8	17.1426	20.5107	27.8879	17.4198	15.9187	17.4302	17.082	75.7418

